44,56,73,82,87,93
20,31,41,52,65,76
9,16,31,38,48,65
21,31,38,39,51,63
11,13,17,20,45,58
19,23,25,35,42,50
10,18,38,57,73,92
2,4,9,8,15,24
21,32,53,71,91,100
26,36,46,69,83,100
15,36,58,76,88,95
47,72,90,91,94,100
24,40,75,94,99,100
26,43,57,75,88,100
14,20,26,36,51,71
43,52,69,94,100,100
12,31,53,68,100,100
59,50,71,77,80,94
7,12,30,59,80,100
31,53,72,94,100,99
12,16,30,37,45,66
27,38,57,75,81,91
45,54,74,87,99,100
32,43,62,68,92,99
35,43,50,55,61,61
38,50,64,75,88,97
8,13,27,44,59,80
26,28,33,40,45,53
26,43,53,84,91,100
22,31,38,54,76,96
31,45,66,86,91,95
8,9,10,15,20,28
41,50,57,73,82,91
88,100,100,100,100,100
19,31,52,67,82,96
26,40,49,65,77,86
9,18,25,41,46,52
29,38,52,66,80,92
17,30,33,53,66,80
7,26,46,70,85,100
15,25,34,48,74,100
36,50,63,74,89,100
1,2,6,11,16,20
76,93,99,100,100,100
4,7,11,26,29,29
37,58,76,85,90,95
46,48,55,54,64,65
24,47,67,79,100,100
3,7,16,21,22,33
29,30,35,37,44,50
10,20,37,55,88,100
14,26,30,31,56,64
15,37,48,64,82,100
65,82,92,97,100,100
55,66,80,85,98,100
47,58,67,77,83,89
3,22,38,53,67,86
7,6,32,35,47,68
28,35,36,45,62,82
51,57,78,77,82,74
32,44,58,72,88,99
68,74,78,86,93,98
44,52,63,78,93,100
26,64,87,100,100,100
61,66,73,78,77,77
14,22,41,59,77,100
52,67,77,90,96,100
25,43,47,65,81,81
1,2,2,2,7,8
7,17,29,36,47,55
51,61,70,77,89,100
35,79,86,89,93,98
10,16,25,25,27,35
5,5,11,20,39,73
74,86,100,100,100,100